name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Maribyrnong,2015-01-30,21.1,11.2,16.2,21.1,11.2,16.2,8.7,62.5,0,0,0,,0,0,50.8,27.7,169.7,1015,45,10,268.7,23.2,8,,2015-01-30T06:31:15,2015-01-30T20:35:28,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-01-31,20.1,11.4,16.3,20.1,11.4,16.3,11,71.8,0,0,0,,0,0,49,29.5,220.7,1011.8,77.2,10,191.7,16.5,5,,2015-01-31T06:32:24,2015-01-31T20:34:39,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-02-01,20.4,12.9,15.8,20.4,12.9,15.8,12.7,82.4,0.567,100,4.17,rain,0,0,54.7,33.5,217.5,1013.1,97.2,9.8,165.4,14.3,7,,2015-02-01T06:33:32,2015-02-01T20:33:48,0.4,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-02-02,22.5,14.1,17.5,22.5,14.1,17.5,11.6,69.1,0,0,0,,0,0,53.6,35.3,195,1019.1,85.2,10,207.9,18.1,6,,2015-02-02T06:34:40,2015-02-02T20:32:55,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-02-03,21.5,15.1,17.5,21.5,15.1,17.5,10.8,65.3,0,0,0,,0,0,44.3,27.7,184.3,1021.5,71.2,10,321.8,27.8,10,,2015-02-03T06:35:49,2015-02-03T20:32:01,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-02-04,19.4,14.4,16.8,19.4,14.4,16.8,9.8,64,0.113,100,4.17,rain,0,0,50,33.5,181.8,1019.3,79.3,10,222.2,19.2,8,,2015-02-04T06:36:57,2015-02-04T20:31:06,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-02-05,26.5,9.2,18.6,26.5,9.2,18.6,11.6,66.6,0,0,0,,0,0,40.7,29.5,182.5,1022,8.6,10,342.3,29.4,10,,2015-02-05T06:38:05,2015-02-05T20:30:09,0.54,Clear,Clear conditions throughout the day.,clear-day,"95866099999,94864099999"
Maribyrnong,2015-02-06,36.1,12,24.3,34.6,12,23.7,12.2,54.5,0,0,0,,0,0,29.9,22.3,43.1,1022.1,10.7,10,323.1,27.7,10,,2015-02-06T06:39:13,2015-02-06T20:29:10,0.57,Clear,Clear conditions throughout the day.,clear-day,"95866099999,94864099999"
Maribyrnong,2015-02-07,36.1,19.3,27.6,34.6,19.3,27,11.9,39.4,0,0,0,,0,0,52.6,29.5,2,1018.4,55.8,10,247.1,21.4,9,,2015-02-07T06:40:21,2015-02-07T20:28:10,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-02-08,25.1,17.7,20.7,25.1,17.7,20.7,13.8,65.3,0,0,0,,0,0,51.5,27.7,193.2,1019.9,54.8,10,320.5,27.8,10,,2015-02-08T06:41:29,2015-02-08T20:27:08,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-02-09,27.3,11.9,19.5,27.5,11.9,19.6,11.7,61.9,0,0,0,,0,0,39.2,23.6,179.3,1022.4,20.1,10,339,29.3,10,,2015-02-09T06:42:36,2015-02-09T20:26:05,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-02-10,30.9,13.4,22.3,30.5,13.4,22.4,15.3,67.7,0,0,0,,0,0,39.6,25.9,209.3,1019.8,2.8,10,319.9,27.6,10,,2015-02-10T06:43:44,2015-02-10T20:25:01,0.7,Clear,Clear conditions throughout the day.,clear-day,"95866099999,94864099999"
Maribyrnong,2015-02-11,32.1,15.9,22.5,32.5,15.9,22.7,16.1,69.8,0,0,0,,0,0,59,38.3,192.7,1018.6,30.9,9.8,306.6,26.3,10,,2015-02-11T06:44:51,2015-02-11T20:23:55,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-02-12,24.6,16.8,19.7,24.6,16.8,19.7,13.1,66.6,0,0,0,,0,0,42.8,25.9,181.1,1022.6,75.2,10,289.9,24.9,9,,2015-02-12T06:45:58,2015-02-12T20:22:48,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-02-13,32.1,13.5,21.4,31.3,13.5,21.3,14.8,70.8,14,100,8.33,rain,0,0,40,31.8,55.5,1020.3,38.3,10,259.6,22.4,9,,2015-02-13T06:47:04,2015-02-13T20:21:40,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-02-14,25.7,18.1,20.8,25.7,18.1,20.8,17.3,81.9,3.391,100,8.33,rain,0,0,40.7,24.1,200.3,1018.1,65.7,10,238.8,20.6,9,,2015-02-14T06:48:11,2015-02-14T20:20:31,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-02-15,35.1,14.4,24.3,34.1,14.4,23.9,14.3,61.2,0,0,0,,0,0,21.2,24.1,79,1013.9,44.7,10,316.8,27.4,10,,2015-02-15T06:49:17,2015-02-15T20:19:20,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-02-16,27.2,17,21.3,27.5,17,21.4,13.9,63.6,0,0,0,,0,0,43.6,29.5,206.1,1015.4,35.6,10,297.4,25.8,9,,2015-02-16T06:50:22,2015-02-16T20:18:08,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-02-17,20.3,17,18.2,20.3,17,18.2,13.5,73.6,0,0,0,,0,0,38.2,20.5,170.2,1017.4,92.8,10,185.1,16,6,,2015-02-17T06:51:28,2015-02-17T20:16:55,0.94,Overcast,Cloudy skies throughout the day.,cloudy,"95866099999,94864099999"
